Category,Function Name,Arguments,Result Type,Explanation,Examples
Binary Operators (act on multiple values),<=,"<any> x, <any> y",Boolean,"Returns true if x is less than or equal to y, otherwise returns false. x and y must be the same type. For Numbers, the comparison is numerical. For Durations, the comparison is done using length of time represented. For Text, the comparison is done by alphabetical sort order. For Dates, Date/Time, and Time of Day values, the comparison is done by chronological order. For Booleans, false is less than true.",3 <= 4 returns true
,,,,,"""abcdef"" <= ""gh"" returns true"
Binary Operators (act on multiple values),<>,"<any> x, <any> y",Boolean,"Same as !=. Returns true if x is not equal to y, otherwise returns false. x and y must be the same type. As with most other functions, null argument values produce a null result, so it is not possible to test for null with this operator. To test for null, use IsNull() instead.",(3 / 4 <> 0.75) returns false
Binary Operators (act on multiple values),=,"<any> x, <any> y",Boolean,"Returns true if x is equal to y, otherwise returns false. x and y must be the same type. As with most other functions, null argument values produce a null result, so it is not possible to test for null with this operator. To test for null, use IsNull() instead.",(3 / 4 = 0.75) returns true
Binary Operators (act on multiple values),>,"<any> x, <any> y",Boolean,"Returns true if x is greater than y, otherwise returns false. x and y must be the same type. For Numbers, the comparison is numerical. For Durations, the comparison is done using length of time represented. For Text, the comparison is done by alphabetical sort order. For Dates, Date/Time, and Time of Day values, the comparison is done by chronological order. For Booleans, false is less than true.",3 > 4 returns false
,,,,,
,,,,,[Actual Completion Date] >= [Projected Completion Date] returns true if the value in the the Actual Completion Date field is greater than the date in the Project Completion Date field.
,,,,,
,,,,,Weeks(1) > Days(6) returns true
Binary Operators (act on multiple values),>=,"<any> x, <any> y",Boolean,"Returns true if x is greater than or equal to y, otherwise returns false. x and y must be the same type. For Numbers, the comparison is numerical. For Durations, the comparison is done using length of time represented. For Text, the comparison is done by alphabetical sort order. For Dates, Date/Time, and Time of Day values, the comparison is done by chronological order. For Booleans, false is less than true.",[Actual Completion Date] >= [Projected Completion Date] returns true if the value in the the Actual Completion Date field is greater than or equal to the date in the Project Completion Date field.
,,,,,
,,,,,"ToDate(""Jan 1, 2000"") >= ToDate(""Feb 1, 1999"") returns true"
Binary Operators (act on multiple values),^,"Number m, Number n",Number,Returns m raised to the nth power.,2 ^ 3 returns 8
,,,,,9 ^ 0.5 returns 3
