Category,Function Name,Arguments,Result Type,Explanation,Examples
Numbers,Mod,"(Number n, Number m)",Number,"Returns n modulo m. Mod implements 'clock' arithmetic; it models movement around a clock that is labeled with the numbers 0 to m-1. To get the result, just count n times around the clock. (Mod is the same as Rem for positive numbers, but different for negative numbers.) You might use this function to auto-assign tasks to staff members. For details, please read this article","Mod(7,3) returns 1"
,,,,,"Mod(-7,3) returns 2"
,,,,,"Mod(7,-3) returns -1"
,,,,,"Mod(-7,-3) returns -2"
,,,,,
,,,,,Sample auto-assign formula:
,,,,,
,,,,,"If (Mod([Record ID#],ToNumber([number_of_reps])) = 0, ToUser(""jsmith""),"
,,,,,"Mod([Record ID#],ToNumber([number_of_reps])) = 1, ToUser(""bboop""),"
,,,,,"Mod([Record ID#],ToNumber([number_of_reps])) = 2, ToUser(""ppeabody""))"
Durations,Mod,"(Duration n, Duration m)",Duration,"Returns n modulo m. (Mod is the same as Rem for positive numbers, but different for negative numbers.)","Mod(Days(4), Days(3)) =  Days(1)"
,,,,,"Mod(Days(-4), Days(3)) =  Days(2)"
,,,,,"Mod(Days(4), Days(-3)) = Days(-1)"
,,,,,"Mod(Days(-4), Days(-3)) = Days(-2)"
Dates,Month,(Date d),Number,Returns the month number of the Date d. January is month 1.,Month([Start Date]) returns the number of the month within the date that appears in the Start Date field.
,,,,,
,,,,,"Month(ToDate(""Jan 10, 2000"") returns 1"
TimeOfDay,MSecond,(TimeOfDay t),Number,Returns the millisecond part of the argument t. The millisecond is in the range 0 to 999.,"MSecond(ToTimeOfDay(""3:04:01.344 pm"")) returns 344"
Durations,MSeconds,(Number n),Duration,"Returns a Duration representing n milliseconds. This function takes a number and converts it into a Duration type value, expressed in milliseconds.",Mseconds(250) returns a duration of 250 seconds.
,,,,,"Mseconds([Shutter Time]) converts the numeric value in the Shutter Time field into a duration expressed in milliseconds. The number doesn't change, just the data type."
Dates,NameOfMonth,"(Date d), Text d",Text,Returns the name of the month containing the given date. Optionally enter 'short' in the second parameter to return the abbreviation of the month.,"NameOfMonth(ToDate(""2/20/20"")) returns ""February"""
,,,,,"NameOfMonth(ToDate(""2/20/20""), short) returns ""Feb"""
Date/Times,NameOfMonth,(Date/Time dt),Text,"Returns the name of the month containing the given Date/Time.  Note that this is evaluated in the app's local time zone, not GMT.","If today is January 20, 2020, NameOfMonth(Now()) returns ""January"""
,,,,Optionally enter 'short' in the second parameter to return the abbreviation of the month.,"NameOfMonth(Now(), short) returns ""Jan"""
Numbers,NameOfMonth,(Number n),Text,Returns the name of the month whose number is n.  Ensure n is a whole number between 1 and 12. Optionally enter 'short' in the second parameter to return the abbreviation of the month.,"NameOfMonth(12) returns ""December"""
,,,,,"NameOfMonth(12, short) returns ""Dec"""
Dates,NextDayOfWeek,"(Date d, Number n)",Date,"Returns the first day after the given date d that falls on the weekday n. n is a number from 0 to 6 with Sunday being 0, Monday being 1, Tuesday being 2, and so on.","NextDayOfWeek([Date Submitted], 2) returns the first Tuesday that follows the Date in the Date Submitted field."
Unary Operators (act on single values),not,Boolean b,Boolean,"Returns the logical negation of b (if b is true, returns false, otherwise returns true).",(not true) returns false
,,,,,(not not false) returns false
,,,,,"not isnull([Finish Date]) returns true if the Finish Date field has content--in other words, it's not null, or empty. (Read more about nulls at: https://www.quickbase.com/help/using_formulas_in_quickbase.html#null)"
Text,NotLeft,"(Text t, Number n)",Text,Returns what remains after excluding the leftmost n characters from the Text argument t.,"NotLeft(""abcde"", 2) returns ""cde"""
Text,NotLeft,"(Text t, Text d)",Text,"Returns what remains after excluding the left part of a text value up to and including the first occurrence of a delimiter character. The first argument, t, is the value to be searched. The second argument, d, is a text value containing all the possible delimiter characters. If space is included in the delimiter list it is handled specially. It acts as a delimiter, but contiguous spaces surrounding a delimiter are ignored rather than each acting as a separate delimiter.","NotLeft(""abc/ def/ghi"","" ;/,"") returns ""def/ghi"""
,,,,,"NotLeft(""Michael    Wissner"", "" "") returns ""Wissner"""
Text,NotRight,"(Text t, Number n)",Text,Returns what remains after excluding the rightmost n characters from the Text argument t.,"NotRight(""ABCDE"", 2) returns ""ABC"""
Text,NotRight,"(Text t, Text d)",Text,"Returns what remains after excluding the right part of a text value starting at the last occurrence of a delimiter character. The first argument, t, is the value to be searched. The second argument, d, is a text value containing all the possible delimiter characters. If space is included in the delimiter list it is handled specially. It acts as a delimiter, but contiguous spaces surrounding a delimiter are ignored rather than each acting as a separate delimiter.","NotRight(""abc/ def"","" ;/,"") returns ""abc"""
,,,,,"NotRight(""Michael   Wissner"", "" "") returns ""Michael"""
Date/Times,Now,(),Date/Time,Returns a Date / Time value representing the current moment.,now() - [Date Created] returns the duration between the current moment and the date the record was created.
Null Handling,Nz,(Number x),Number,"This function returns x if x is not null. If it is null, it returns 0 instead. An undefined or empty field is ""null."" Null values don't work in numeric calculations, which is where the Nz() function comes in handy. When Nz() finds a null, it sees it as a zero. So, if you want to perform calculations on a field that may include a null, use the Nz function.",Nz(4) returns 4
,,,,,Nz(0) returns 0
,,,,,Nz(null) returns 0
,,,,,"Nz([Mon]) + Nz([Tues] + Nz([Wed]) + Nz([Thurs]) + Nz([Fri]) returns the total of all numbers found in these day of the week fields. If a field is empty, Nz() reads it as a zero."
Null Handling,Nz,(Duration d),Duration,"This function returns d if d is not null. If it is null, it returns a 0-length duration instead. An undefined or empty field is ""null."" Null values don't work in calculations, which is where the Nz() function comes in handy. When Nz() finds a null, it sees it as a zero. So, if you want to perform calculations on a field that may include a null, use the Nz function.",Nz([Actual Duration]) + Nz([Actual Duration 1]) +  Nz([Actual Duration 2]) returns the totals of values in all these duration fields.
Null Handling,Nz,"(Number x, Number y)",Number,"This function returns x if x is not null. If it is null, it returns the alternate value y instead. Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.","Nz(34, 100) returns 34"
,,,,,"Nz(null, 100) returns 100"
,,,,,"Nz([Final Sales Price], [Price Quote]) returns the value in the Final Sales Price field, if it exists. If Final Sales Price is empty (null), then this example returns the value in the Price Quote field."
Null Handling,Nz,"(Duration x, Duration y)",Duration,"This function returns x if x is not null. If it is null, it returns the alternate value y instead. Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.","Nz([Length of Project], [Estimated Length of Project] returns the value in the Length of Project field, if it exists. If there is no value in the Length of Project field, this formula returns the value in the Estimated Length of Project field."
Null Handling,Nz,"(Date x, Date y)",Date,"This function returns x if x is not null. If it is null, it returns the alternate value y instead. Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.","Nz([Actual Finish Date], [Estimated Finish Date]) returns the value in the Actual Finish Date field, if it exists. If the Actual Finish Date field is empty, this formula returns the date in the Estimated Finish Date field."
Null Handling,Nz,"(Date/Time x, Date/Time y)",Date/Time,"This function returns x if x is not null. If it is null, it returns the alternate value y instead. Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.","Nz([Timestamp of Request], [Date Created]) returns the value from the Timestamp of Request field, if it exists. If there is no value in that field, this formula returns the value from the Date Created field instead."
Null Handling,Nz,"(TimeOfDay x, TimeOfDay y)",TimeOfDay,"This function returns x if x is not null. If it is null, it returns the alternate value y instead. Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.","Nz([Finish Time], [Closing Time]) returns the value in the Finish Time field, if it exists. If there is no value in the Finish Time field, this formula returns the value in the Closing Time field."
Binary Operators (act on multiple values),or,"Boolean a, Boolean b",Boolean,"Returns true if either a or b is true, otherwise returns false.",(true or false) returns true
Text,PadLeft,"(Text textToPad, Number targetLength, Text paddingText)",Text,"Extends text to a target length by adding padding to the left of the text. If the text is already the target length or longer, then there's no change. Otherwise, the padding text is added as necessary to reach the target length. NOTE: This function pads up to a limit of 50 characters.","PadLeft(""123"", 5, ""0"") returns ""00123"""
Text,PadRight,"(Text textToPad, Number targetLength, Text paddingText)",Text,"Extends text to a target length by adding padding to the right of the text. If the text is already the target length or longer, then there's no change. Otherwise, the padding text is added as necessary to reach the target length. NOTE: This function pads up to a limit of 50 characters.","PadRight(""123"", 5, ""**"") returns ""123**"""
Text,Part,"(Text t, Number p, Text d)",Text,"Returns the specified part of a text value. The parts are separated by the occurrence of any delimiter character. The first argument, t, is the value to be searched. The second argument, p, is the position of the part in the argument t. The first part starting on the left is position 1. Negative part numbers can be used to start from the right. The third argument, d, is a text value containing all the possible delimiter characters. If space is included in the delimiter list it is handled specially. It acts as a delimiter, but contiguous spaces surrounding a delimiter are ignored rather than each acting as a separate delimiter.","Part(""hh:mm:ss"",1,"":"") returns ""hh"""
,,,,,"Part(""hh:mm:ss"",3,"":"") returns ""ss"""
,,,,,"Part(""hh:mm:ss"",-1,"":"") returns ""ss"""
,,,,,"Part(""hh:mm"",3,"":"") returns """""
,,,,,"Part(""abc, def,ghi"",2,"" ,"") returns ""def"""
,,,,,"Part([Append],2,""["") returns all text from the Append field that lives between the first [ character and the second [ character. This example shows how to extract only the most recent entry from an append field."
Dates,PrevDayOfWeek,"(Date d, Number n)",Date,"Returns the last day before the given date d that falls on the weekday n. n is a number from 0 to 6 with Sunday being 0, Monday being 1, Tuesday being 2, and so on.","PrevDayOfWeek([Date Due], 5) returns the date of the last Friday that occurse before the Date Due."
Numbers,PV,"(Number rate, Number nskip, Number amt)",Number,Calculates the Present Value of a future payment. Rate is the discount rate for one time period. Nskip is the number of time periods before the payment occurs. Amt is the amount of the payment.,"PV(.10, 2, 121) returns 100"
Numbers,PV,"(Number rate, Number nskip, Number amt, Number npay)",Number,"Calculates the Present Value of a series of future payments. Rate is the discount rate for one time period. Nskip is the number of time periods before the first payment occurs. Amt is the amount of each payment. Npay is the number of payments in the series, spaced one time period apart.","PV(.10, 1, 100, 3) returns 248.69"
Encoding Functions,QB32Decode,(Text t),Number,Decodes text back to an integer using a base32 encoding specific to Quick Base.,"QB32Decode(""bpcwsmnz6"") returns 1549023949564"
Encoding Functions,QB32Encode,(Number p),Text,Encodes an integer as text using a base32 encoding specific to Quick Base,"QB32Encode(1549023949564) returns ""bpcwsmnz6"""
Numbers,Rem,"(Number n, Number d)",Number,"Returns a number that is the remainder after n is divided by d an integer number of times. (Mod is the same as Rem for positive numbers, but different for negative numbers.)","Rem(7,3) returns 1"
,,,,,"Rem(-7,3) returns -1"
,,,,,"Rem(7,-3) returns 1"
,,,,,"Rem(-7,-3) returns -1"
Durations,Rem,"(Duration n, Duration d)",Duration,"Returns a Duration that is the remainder after n is divided by d an integer number of times. (Mod is the same as Rem for positive numbers, but different for negative numbers.)","Rem(Days(4), Days(3)) =  Days(1)"
,,,,,"Rem(Days(-4), Days(3)) = Days(-1)"
,,,,,"Rem(Days(4), Days(-3)) =  Days(1)"
,,,,,"Rem(Days(-4), Days(-3)) = Days(-1)"
Text,RemoveNewlineCharacters,(Text t),Text,"Finds all instances of newline characters ""\r"" and ""\n"" and replaces them with a space. Consecutive newline characters are treated as one occurrence.","RemoveNewlineCharacters(""Hello\r\n\r\nWorld"") returns ""Hello World"""
Text,Right,"(Text t, Number n)",Text,Returns the rightmost n characters from the Text argument t.,"Right(""ABCD"", 2) returns ""CD"""
Text,Right,"(Text t, Text d)",Text,"Returns the right part of a text value starting at the character after the last occurrence of a delimiter character. The first argument, t, is the value to be searched. The second argument, d, is a text value containing all the possible delimiter characters.","Right(""abc/def"","";/,"") returns ""def"""
,,,,,"Right(""Michael Wissner"", "" "") returns ""Wissner"""
Rounding and Truncating,Round,(Number x),Number,Returns the nearest integer to the number x. The fraction .5 rounds up to the next greater integer.,Round(3.2) = 3
,,,,,Round(3.5) = 4
,,,,,Round(3.7) = 4
,,,,,Round(-3.4) = -3
,,,,,Round(-3.5) = -3
,,,,,Round(-3.7) = -4
Rounding and Truncating,Round,"(Number x, Number y)",Number,"Returns the multiple of y which is nearest to x. You may notice small discrepancies when you use this function with floating point numbers. For example, Round(37.785,0.01) returns 37.78 instead of 37.79. This is not a QuickBase-specific issue; the discrepancies happen because some floating point numbers cannot be represented exactly in the binary format required by computers and are instead approximated.","Round(3.12345, .01) returns 3.12"
,,,,,"Round(3.6, 2) returns 4"
,,,,,"Round(-3.6, 2) returns -4"
Rounding and Truncating,Round,"(Duration x, Duration y)",Duration,Returns the multiple of the duration y which is nearest the duration x.,"Round(Days(3.5), Days(2)) returns Days(4)"
Text,SearchAndReplace,"(Text textToSearch, Text searchText, Text replacementText)",Text,Replaces all occurrences of a given search text with the replacement text. Search is case sensitive.,"SearchAndReplace(""John Smith"", ""John"", ""Jane"") returns ""Jane Smith"""
TimeOfDay,Second,(TimeOfDay t),Number,Returns the second part of the argument t. The second is in the range 0 to 59.,"Second(ToTimeOfDay(""3:04 pm"")) returns 0"
Durations,Seconds,(Number n),Duration,"Returns a Duration representing n seconds. This function takes a number and converts it into a Duration type value, expressed in seconds.",seconds(120) returns a duration of 120 seconds.
,,,,,"seconds([100yd Dash Finish Time]) converts the numeric value in the 100yd Dash Finish Time field into a duration expressed in seconds. The number doesn't change, just the data type."
,,,,,[Start Time] + seconds(10) returns the time of day that's 10 seconds after the time of day in the Start Time field.
Queries,Size,(List l),Number,"Returns the number of items in a TextList, UserList, or RecordList.",Size([Assigned To]) returns the number of items in the ?Assigned to? field for a given record.
TextList,Split,(Text textToSplit),Text,"Converts text string, in format of items list with semicolon separator, to list structure. Each item can be processed separately. Empty values and blank values are ignored. Spaces at the beginning and at the end of resulting items are removed.","Example: Split("" item-0 ;;item-1; ;item-2"") returns [""item-0"", ""item-1"", ""item-2""]"
TextList,Split,"(Text textToSplit, Text delimiter)",Text,"Converts text string, in format of items list with custom separator character, to list structure. Each item can be processed separately. Empty values and blank values are ignored. Spaces at the beginning and at the end of resulting items are removed.","Example: Split("" item-0 ==item-1= =item-2"", ""="") returns [""item-0"", ""item-1"", ""item-2""]"
Numbers,Sqrt,(Number n),Number,Returns the square root of n.,Sqrt(9) returns 3
,,,,,Sqrt(16) returns 4
Aggregation,Sum,"(Number n, ...)",Number,Returns the sum of the non-null arguments.,"Sum(12.50, 0.5, null, 3) returns 16"
Aggregation,Sum,"(Duration d, ...)",Duration,Returns the sum of the non-null arguments.,"Sum(Days(1), Weeks(2), Days(2)) returns 17 days"
Queries,SumValues,"(RecordList l, Number f)",Number,Returns the sum of values of fields with id f from record list l. f should be an id of a numeric field.,"SumValues(GetRecords(?{3.GT.0}?), 3) returns sum of all records ids in current table. (Record ID# is the field with id 3 and records ids are greater than 0.)"
Type Conversion,ToBoolean,(Text x),Boolean,"Converts the values ""1"", ""true"" or ""yes"" to true, other values to false. Case is ignored.","ToBoolean(""Yes"") returns true"
,,,,,"ToBoolean(""0"") returns false"
Type Conversion,ToBoolean,(Number n),Boolean,"Returns true if the Number n is a non-zero value, otherwise returns false.",ToBoolean(1) returns true
,,,,,ToBoolean(0) returns false
,,,,,ToBoolean(null) returns false
Type Conversion,ToDate,(Text x),Date,"Converts the text value x into a Date. x can be several of the popular date formats, including ""January 30, 2000"", ""1/30/00"", ""2000/1/30"", ""1-30-2000""","ToDate(""Jan 30, 2000"") takes the text ""Jan 30, 2000"" and returns it as a date type value."
Type Conversion,ToDate,(Date/Time x),Date,"Date/Time type fields have a date, time and time zone associated with them, while Dates do not have time and time zone. This function converts the Date/Time x into a Date by returning the Date, in the local time zone, in which Date/Time x falls.",ToDate([Date Modified]) returns the Date the record was last modified
Dates,Today,(),Date,Returns the current date in the local time zone.,Today() - [Estimated Finish Date] calculates the duration since the Estimated Finish Date occurred.
Durations,ToDays,(Duration d),Number,"Takes a Duration d, and returns the number of days contained in it.",ToDays([Start Date] - Today()) returns the number of days until the Start date.
,,,,,
,,,,,ToDays(Weeks(2)) returns 14
Type Conversion,ToFormattedText,"(Date d, Text f)",Text,Returns a Text value which is the formatted text version of the date specified. The Text argument to the function specifies the format. Choose one of: MMDDYYYY MMDDYY DDMMYYYY DDMMYY YYYYMMDD,"ToFormattedText(Date(2000,01,30),""MMDDYYYY"")  returns ""01-30-2013"" "
,,,,,"ToFormattedText(Date(2000,01,30),""MMDDYY"")  returns ""01-30-13"" "
,,,,,"ToFormattedText(Date(2000,01,30),""DDMMYYYY"")  returns ""30-01-2013"" "
,,,,,"ToFormattedText(Date(2000,01,30),""DDMMYY"")  returns ""30-01-13"" "
,,,,,"ToFormattedText(Date(2000,01,30),""YYYYMMDD"")  returns ""2013-01-30"""
Type Conversion,ToFormattedText,"(Date/Time t, Text f)",Text,Returns a Text value which is the formatted text version of the date/time specified. The Text argument to the function specifies the format. Choose one of: MMDDYYYY MMDDYY DDMMYYYY DDMMYY YYYYMMDD,"ToFormattedText([Date Created],""MMDDYYYY"")  returns ""01-30-2013 10:34 PM"" "
,,,,,"ToFormattedText([Date Created],""MMDDYY"")  returns ""01-30-13 10:34 PM"" "
,,,,,"ToFormattedText([Date Created],""DDMMYYYY"")  returns ""30-01-2013 10:34 PM"" "
,,,,,"ToFormattedText([Date Created],""DDMMYY"")  returns ""30-01-13 10:34 PM"" "
,,,,,"ToFormattedText([Date Created],""YYYYMMDD"")  returns ""2013-01-30 10:34 PM"""
Type Conversion,ToFormattedText,"(Number n, Text f)",Text,"Returns a Text value which is the formatted text version of the number specified. The Text argument to the function specifies the format. Choose one of: none_dot - returns the number formatted like 12345678.85 comma_dot - returns the number formatted like 12,345,678.85 comma_dot_2 - returns the number formatted like 1,23,45,678.85 none_comma - returns the number formatted like 12345678,85 dot_comma - returns the number formatted like 12.345.678,85 dot_comma_2 - returns the number formatted like 1.23.45.678,85","ToFormattedText(2394729834.85, ""comma_dot"") returns 2,394,729,834.85"
Type Conversion,ToFormattedText,"(Duration d, Text f)",Text,"Returns a Text value containing the formatted print representation of the Duration d, using the format f. The Text argument to the function specifies the format. Choose one of: HHMM HHMMSS MMSS MM MSECONDS SECONDS MINUTES HOURS DAYS WEEKS SMART","ToFormattedText([Duration],""HHMM"")  returns ""01:12"" "
,,,,,"ToFormattedText([Duration],""HHMMSS"")  returns ""01:02:03"" "
,,,,,"ToFormattedText([Duration],""MMSS"")  returns "":02:03"" "
,,,,,"ToFormattedText([Duration],""MM"")  returns "":02"" "
,,,,,"ToFormattedText([Duration],""MSECONDS"")  returns ""83750000"" "
,,,,,"ToFormattedText([Duration],""SECONDS"")  returns ""8375"" "
,,,,,"ToFormattedText([Duration],""MINUTES"")  returns ""25.55"" "
,,,,,"ToFormattedText([Duration],""HOURS"")  returns ""25.35"" "
,,,,,"ToFormattedText([Duration],""DAYS"")  returns ""1.53"" "
,,,,,"ToFormattedText([Duration],""WEEKS"")  returns ""0.1235"" "
,,,,,"ToFormattedText([Duration],""SMART"")  returns ""23.434 hours"""
Type Conversion,ToFormattedText,"(Number n, Text f, Number c)",Text,"Returns a Text value containing the formatted print representation of the number n, using the format f, with separators starting after number c digits.  Valid values for c are 3 or 4; if it is 3, separators will be shown starting after 3 digits instead of after 4.","ToFormattedText(1234.56,""comma_dot"", 3) returns ""4,567.89"""
,,,,,"ToFormattedText(1234.56,""comma_dot"", 4) returns ""4567.89"""
,,,,,"ToFormattedText(1234567.89,""comma_dot_2"",3) returns ""12,34,567.89"""
,,,,,"ToFormattedText(1234.56,""dot_comma"", 3) returns ""4.567,89"""
,,,,,"ToFormattedText(1234.56,""dot_comma"", 4) returns ""4567,89"""
,,,,,"ToFormattedText(1234567.89,""dot_comma_2"",3) returns ""12.34.567,89"""
Durations,ToHours,(Duration d),Number,"Takes a Duration d, and returns the number of hours contained in it.",ToHours(Days(2)) returns 48
Durations,ToMinutes,(Duration d),Number,"Takes a Duration d, and returns the number of minutes contained in it.",ToMinutes(Hours(2)) returns 120
Durations,ToMSeconds,(Duration d),Number,"Takes a Duration d, and returns the number of milliseconds contained in it.",ToMSeconds(Seconds(2)) returns 2000
Type Conversion,ToNumber,(Text x),Number,Returns the number represented by the Text value x.,"ToNumber(""-12.3"") returns -12.3"
,,,,,"ToNumber("""") returns null"
Type Conversion,ToNumber,(Boolean b),Number,"Returns 0 if b is false, 1 if b is true.",ToNumber(false) returns 0
,,,,,ToNumber(true) returns 1
Durations,ToSeconds,(Duration d),Number,"Takes a Duration d, and returns the number of seconds contained in it.",ToSeconds(Minutes(2)) returns 120
Type Conversion,ToText,(<any> x),Text,Returns a Text value containing the print representation of the argument x.,"ToText(3.4) returns ""3.4"""
,,,,,"ToText(null) returns """""
,,,,,"ToText(true) returns ""1"""
,,,,,"ToText(Date(2000,12,16)) returns ""12-16-2000"""
,,,,,"ToText(ToTimeOfDay(""4pm"")) returns ""4:00 pm"""
,,,,,"ToText(Hours(2)+Minutes(20)) returns ""2:20"""
,,,,,"ToText([Date Created]) returns ""12-15-2000 10:34 PM"""
,,,,,
,,,,,ToText([Record Owner]) returns the user name or email address of the user who appears in the Record Owner field.
,,,,,
,,,,,"ToText([AssignedTo]), where AssignedTo is a list-user field type, returns a semi-colon separated list of the user names or email addresses of the users  who appear in the AssignedTo field."
Type Conversion,ToText,"(Number x, Text t)",Text,Returns a Text value containing the print representation of the argument x. Includes a second argument indicating how many digits to include before truncating or rounding.,"ToText(355/113, ""full"") returns 3.1415929203539825"
,,,,(Default) Legacy - up to 8 digits,"ToText(355/113, ""legacy"") returns 3.1415929"
,,,,Full - exposes the most digits possible,
Type Conversion,ToTimeOfDay,(Text x),TimeOfDay,"Converts the text value x into a TimeOfDay. x can be several of the popular time formats, including ""3 pm"", ""3:04 am"", ""22:00"", ""2:03:29 am"", ""12:03:29.345"".","ToTimeofDay(""16:32"") returns the time 4:32pm"
Type Conversion,ToTimeOfDay,(Date/Time t),TimeOfDay,Date/Time fields display the date and time. This function returns the TimeOfDay on which the Date/Time t falls in the local time zone.,ToTimeOfDay([Last Modified])
Type Conversion,ToTimestamp,(Date d),Date/Time,Returns a Date / Time value which is 12:00 am of the given Date d in the local time zone (midnight at the beginning of the Date).,"ToTimestamp(Date(2000,7,4)) returns midnight on July 4, 2000."
Type Conversion,ToTimestamp,"(Date d, TimeOfDay t)",Date/Time,"Returns a Date / Time value which is at the given TimeOfDay t, on the given Date d in the local time zone","ToTimestamp([Start Date], [Start Time])"
Special,ToUser,(Text t),User,"Converts a user name, email address, or user ID to a user value. A ""user"" is an individual with whom you've shared your application. You'd translate something like an e-mail address into a user value so that QuickBase recognizes the user. When you do so, you can take advantage of user fields to design permissions and/or views. For example, show a user only those tasks that have been assigned to her.",ToUser([Email Address]) takes the values in the Email Address field and returns their corresponding user values.
,,,,,"ToUser(""jsmith"") returns the user with the user name ""jsmith"". "
,,,,,"ToUser(""jsmith@example.com"") returns the user possessing that e-mail address.  "
,,,,,ToUser(123456.abcd) returns the user with that user ID.
Special,ToUserList,(User u ..),UserList,Concatenates the contents of one or more user type fields into a user list field type.,"ToUserList([Sales Manager], [Business Manager]) takes the values in the Sales Manager field and Business Manager field and returns the combined value into another field."
,,,,,
,,,,This field is of type List-User and has a limit of 20 entries. If the resulting value of this field in a record exceeds the maximum entries allowed the resulting value will be set to blank.,The ToUserList() formula can take Either all User fields or all UserList fields as arguments; not both. To combine a User field and a UserList field then you need convert the User field to a UserList field.
,,,,,"ToUserList([UserList field], ToUserList([User field]))"
,,,,,
,,,,,Associate Error:
,,,,,Expecting user but found userlist
Special,ToUserList,(UserList ul ..),UserList,Concatenates the contents of one or more user type fields into a user list field type.,"ToUserList([Sales Managers], [Business Managers]) takes the values in the Sales Manager field and Business Manager field and returns the combined value into another field."
,,,,,
,,,,This field is of type List-User and has a limit of 20 entries. If the resulting value of this field in a record exceeds the maximum entries allowed the resulting value will be set to blank.,The ToUserList() formula can take Either all User fields or all UserList fields as arguments; not both. To combine a User field and a UserList field then you need convert the User field to a UserList field.
,,,,,"ToUserList([UserList field], ToUserList([User field]))"
,,,,,
,,,,,Associate Error:
,,,,,Expecting user but found userlist
Dates,ToWeekdayN,(Date d),Date,"If the given date d is a weekday returns it, otherwise returns the next occurring weekday.","To WeekdayN([Order Date]) returns the date in the Order Date field if it's a weekday. If not, it returns the date of the next weekday."
,,,,,
,,,,,"ToWeekdayN(ToDate(""6/21/2003"")) returns 6/23/2003"
Dates,ToWeekdayP,(Date d),Date,"If the given date d is a weekday returns it, otherwise returns the previously occurring weekday.","ToWeekdayP(ToDate(""6/21/2003"")) returns 6/20/2003"
Durations,ToWeeks,(Duration d),Number,"Takes a Duration d, and returns the number of weeks contained in it.",ToWeeks(Days(14)) returns 2
Type Conversion,ToWorkDate,(Date d),WorkDate,Converts a date d to a WorkDate.,ToWorkDate([Finish]) takes a date value from the Finish field and returns it as a Workdate.
,,,,,
,,,,,"ToWorkDate(ToDate(""10/31/2003"")) returns a work date whose value is 10/31/2003"
Text,Trim,(Text t),Text,"Returns t with leading and trailing white space characters removed. White space characters are space, tab, CR and LF.","Trim(""  ABC "") returns ""ABC"""
Text,Upper,(Text t),Text,Returns t converted to upper case.,"Upper(""abc"") returns ""ABC"""
Text,URLEncode,(Text t),Text,"Encodes the text t so that it can be used in a URL, by substituting special character combinations for certain reserved characters, like '&' and '=' and space.","URLEncode(""abc def&ghi=4"") returns ""abc+def%26ghi%3D4"""
Special,URLRoot,(),Text,"Returns the first part of the URL used to access QuickBase, including the protocol and the site name.","URLRoot() returns ""https://www.quickbase.com/"""
Special,User,(),User,Returns the user currently accessing the database.,With this function you can create a view that selects only the records modified by the user who is currently viewing the database.
Special,UserListToEmails,(UserList ul),text,Returns a semi-colon separated list of email addresses for all the users selected on the User List field. This function won't work for users who have hidden their e-mail address by choosing a screen name.,UserListToEmails([Assigned To]) returns the semi-colon separated list of email addresses of the QuickBase users who are part of Assigned To field for a record.
Special,UserListToIDs,(UserList ul),Text,Returns a semi-colon separated list of users' hashed IDs.,"UserListToIDs([Volunteers]), returns ""1234.abcd; 1000.dac3"" where the Volunteers are the users Michael Smith and Nancy Jones."
Special,UserListToNames,"(UserList ul, Text format)",text,"Returns a semi-colon separated list of users' full names. Specify text format by including ""FF"" to return the full names with the first name first. Or, include ""LF"" to return the full names with the last name first.","UserListToNames([Volunteers], ""LF""), returns ""Smith, Michael; Jones, Nancy"" where the Volunteers are the users Michael Smith and Nancy Jones."
Special,UserListToNames,(UserList ul),text,"Returns a semi-colon separated list of the users' full names, first name first.",UserListToNames([Volunteers]) returns the full names of the users listed in the Volunteers field.
Special,UserRoles,"(""ID/Name/Empty"")",Multi-select Text,Returns information about the current user’s role. Use in a Formula Multi-select Text field.,"UserRoles(""ID"") returns the role ID. UserRoles(""Name"") returns the role name. UserRoles(""""), or empty, returns the role ID and name in the format ID/name. "
,,,,,
,,,,,"Usage examples, based on the user role, include showing or hiding form elements, validating data, sending a webhook or email notification, or dynamic instructional text."
,,,,,
,,,,,
Special,UserToEmail,(User x),Text,Returns the user's e-mail address. This function won't work for users who have hidden their e-mail address.,UserToEmail([Last Modified By]) returns the email address of the QuickBase user who last modified a record.
Special,UserToID,(User x),Text,Returns a given user's hashed ID.,"UserToID([Record Owner]), returns ""1234.abcd"" where the record owner is the user Michael Smith."
Special,UserToName,"(User x, Text format)",Text,"Returns a given user's full name. Specify text format by including ""FF"" to return the full name with the first name first. Or, include ""LF"" to return the full name with the last name first.","UserToName([Record Owner], ""LF""), returns ""Smith, Michael"" where the record owner is the user Michael Smith."
Special,UserToName,(User x),Text,"Returns the user's full name, first name first.",UserToName([Record Owner]) returns the full name of the user listed in the Record Owner field. 
,,,,,
,,,,Use this function to turn a user name into a full name. For example: ,
,,,,,
,,,,"UserToName(ToUser(""bboop"")) might return ""Betty Boop"". ",
Dates,WeekdayAdd,"(Date d, Number n)",Date,Returns the date that is n weekdays past the given date d. n may be negative to move backward in time.,"WeekdayAdd([Start], [Duration]) returns the date that results if you add the value in the Duration field to the date in the Start field and count only weekdays. "
,,,,,
,,,,,"WeekdayAdd(ToDate(""6/20/2003""), 2) returns 6/24/2003"
,,,,,
